# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=109533377
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=draws_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,L_u.1.1,L_u.2.1,L_u.3.1,L_u.1.2,L_u.2.2,L_u.3.2,L_u.1.3,L_u.2.3,L_u.3.3,sigma_u.1,sigma_u.2,sigma_u.3,sigma,z_u.1.1,z_u.2.1,z_u.3.1,z_u.4.1,z_u.5.1,z_u.6.1,z_u.7.1,z_u.8.1,z_u.9.1,z_u.10.1,z_u.11.1,z_u.12.1,z_u.1.2,z_u.2.2,z_u.3.2,z_u.4.2,z_u.5.2,z_u.6.2,z_u.7.2,z_u.8.2,z_u.9.2,z_u.10.2,z_u.11.2,z_u.12.2,z_u.1.3,z_u.2.3,z_u.3.3,z_u.4.3,z_u.5.3,z_u.6.3,z_u.7.3,z_u.8.3,z_u.9.3,z_u.10.3,z_u.11.3,z_u.12.3,u.1.1,u.2.1,u.3.1,u.4.1,u.5.1,u.6.1,u.7.1,u.8.1,u.9.1,u.10.1,u.11.1,u.12.1,u.1.2,u.2.2,u.3.2,u.4.2,u.5.2,u.6.2,u.7.2,u.8.2,u.9.2,u.10.2,u.11.2,u.12.2,u.1.3,u.2.3,u.3.3,u.4.3,u.5.3,u.6.3,u.7.3,u.8.3,u.9.3,u.10.3,u.11.3,u.12.3
-17605.5,0.666667,0.00195312,1,3,1,461388,0.265325,-1.22052,1.25315,1,-0.713532,-0.00701403,0,0.700622,0.87648,0,0,0.481388,0.249932,1.18109,1.27835,5.11898,1.37989,-0.937605,1.7778,-0.836173,0.540516,0.283882,-1.34092,0.320105,-0.111694,0.480052,-1.05592,1.32911,1.33496,1.8815,1.66668,-0.266742,1.72467,-0.561423,0.647456,-1.6854,-0.413674,0.690281,-1.03191,1.53316,1.36267,0.293195,1.97499,-1.69488,-0.539385,-0.415137,-0.0576548,0.825991,-1.04704,1.36016,-0.404611,0.256656,0.344879,-0.234337,0.444328,-0.208986,0.135092,0.0709513,-0.33514,0.0800045,-0.0279158,0.11998,-0.263909,0.332187,-0.0582165,2.34711,-0.119059,0.483955,0.971646,-0.703819,1.66583,-1.66444,-0.248185,0.166645,0.0359721,0.148589,2.32195,2.29697,3.06687,-1.33437,1.59563,-0.887061,0.701986,-1.38298,-1.10683,1.60614,-1.39573,1.86386
-17605.5,0,7.84723,0,1,1,17633.3,0.265325,-1.22052,1.25315,1,-0.713532,-0.00701403,0,0.700622,0.87648,0,0,0.481388,0.249932,1.18109,1.27835,5.11898,1.37989,-0.937605,1.7778,-0.836173,0.540516,0.283882,-1.34092,0.320105,-0.111694,0.480052,-1.05592,1.32911,1.33496,1.8815,1.66668,-0.266742,1.72467,-0.561423,0.647456,-1.6854,-0.413674,0.690281,-1.03191,1.53316,1.36267,0.293195,1.97499,-1.69488,-0.539385,-0.415137,-0.0576548,0.825991,-1.04704,1.36016,-0.404611,0.256656,0.344879,-0.234337,0.444328,-0.208986,0.135092,0.0709513,-0.33514,0.0800045,-0.0279158,0.11998,-0.263909,0.332187,-0.0582165,2.34711,-0.119059,0.483955,0.971646,-0.703819,1.66583,-1.66444,-0.248185,0.166645,0.0359721,0.148589,2.32195,2.29697,3.06687,-1.33437,1.59563,-0.887061,0.701986,-1.38298,-1.10683,1.60614,-1.39573,1.86386
-17605.5,0,1.10816,0,1,1,17633.9,0.265325,-1.22052,1.25315,1,-0.713532,-0.00701403,0,0.700622,0.87648,0,0,0.481388,0.249932,1.18109,1.27835,5.11898,1.37989,-0.937605,1.7778,-0.836173,0.540516,0.283882,-1.34092,0.320105,-0.111694,0.480052,-1.05592,1.32911,1.33496,1.8815,1.66668,-0.266742,1.72467,-0.561423,0.647456,-1.6854,-0.413674,0.690281,-1.03191,1.53316,1.36267,0.293195,1.97499,-1.69488,-0.539385,-0.415137,-0.0576548,0.825991,-1.04704,1.36016,-0.404611,0.256656,0.344879,-0.234337,0.444328,-0.208986,0.135092,0.0709513,-0.33514,0.0800045,-0.0279158,0.11998,-0.263909,0.332187,-0.0582165,2.34711,-0.119059,0.483955,0.971646,-0.703819,1.66583,-1.66444,-0.248185,0.166645,0.0359721,0.148589,2.32195,2.29697,3.06687,-1.33437,1.59563,-0.887061,0.701986,-1.38298,-1.10683,1.60614,-1.39573,1.86386
-17605.5,0,0.0986461,0,1,1,17628.7,0.265325,-1.22052,1.25315,1,-0.713532,-0.00701403,0,0.700622,0.87648,0,0,0.481388,0.249932,1.18109,1.27835,5.11898,1.37989,-0.937605,1.7778,-0.836173,0.540516,0.283882,-1.34092,0.320105,-0.111694,0.480052,-1.05592,1.32911,1.33496,1.8815,1.66668,-0.266742,1.72467,-0.561423,0.647456,-1.6854,-0.413674,0.690281,-1.03191,1.53316,1.36267,0.293195,1.97499,-1.69488,-0.539385,-0.415137,-0.0576548,0.825991,-1.04704,1.36016,-0.404611,0.256656,0.344879,-0.234337,0.444328,-0.208986,0.135092,0.0709513,-0.33514,0.0800045,-0.0279158,0.11998,-0.263909,0.332187,-0.0582165,2.34711,-0.119059,0.483955,0.971646,-0.703819,1.66583,-1.66444,-0.248185,0.166645,0.0359721,0.148589,2.32195,2.29697,3.06687,-1.33437,1.59563,-0.887061,0.701986,-1.38298,-1.10683,1.60614,-1.39573,1.86386
-10376.2,1,0.00718679,2,3,0,15404.8,0.306484,-1.21397,1.25111,1,-0.715303,-0.0124588,0,0.698814,0.877726,0,0,0.479001,0.250212,1.1838,1.27413,9.2126,1.39515,-0.929165,1.77725,-0.829745,0.539799,0.286265,-1.34152,0.323571,-0.11225,0.479191,-1.05875,1.32204,1.34032,1.88302,1.65887,-0.273695,1.71709,-0.561061,0.646744,-1.69356,-0.405943,0.685214,-1.02709,1.52328,1.34701,0.297293,1.96873,-1.69257,-0.535388,-0.41812,-0.0641417,0.831254,-1.039,1.35507,-0.403951,0.244768,0.349084,-0.232488,0.444689,-0.207612,0.135064,0.0716271,-0.335665,0.0809613,-0.0280863,0.119899,-0.264912,0.33079,-0.0725969,2.34454,-0.132619,0.476193,0.963392,-0.706546,1.671,-1.675,-0.24077,0.161081,0.0468561,0.14067,2.29887,2.30204,3.0285,-1.3259,1.58497,-0.887182,0.705427,-1.39178,-1.08631,1.5857,-1.37836,1.83193
-9553.27,1,0.00952276,3,7,0,10195.6,0.292908,-1.22216,1.25106,1,-0.72591,-0.0240913,0,0.68779,0.878083,0,0,0.477901,0.245225,1.18897,1.28165,11.7676,1.4136,-0.932372,1.79203,-0.817284,0.535734,0.294781,-1.31417,0.328118,-0.115311,0.482797,-1.04839,1.31553,1.34498,1.87233,1.65042,-0.267164,1.73261,-0.570755,0.646171,-1.69408,-0.404091,0.667203,-1.03088,1.53238,1.34183,0.291922,1.97958,-1.68378,-0.534981,-0.411892,-0.0628257,0.84248,-1.03679,1.34591,-0.404399,0.230153,0.346649,-0.228641,0.439451,-0.200418,0.131375,0.0722876,-0.322267,0.0804627,-0.0282771,0.118394,-0.25709,0.322601,-0.12018,2.33583,-0.197027,0.486907,0.954475,-0.72116,1.66265,-1.66854,-0.230926,0.128918,0.0618315,0.117703,2.29186,2.3147,3.01454,-1.30675,1.60566,-0.903712,0.729295,-1.40063,-1.08624,1.56033,-1.37547,1.82488
-9321.53,1,0.0145613,2,3,0,9479.38,0.309398,-1.20764,1.26037,1,-0.722581,-0.0369548,0,0.691286,0.87334,0,0,0.485708,0.244767,1.16859,1.27722,14.5229,1.39719,-0.940892,1.77409,-0.806807,0.541327,0.296611,-1.30994,0.343958,-0.106848,0.486163,-1.03812,1.33102,1.36833,1.88015,1.6248,-0.280233,1.74098,-0.547669,0.645648,-1.68808,-0.401287,0.664535,-1.02159,1.51332,1.33676,0.289017,1.98356,-1.68408,-0.511786,-0.416883,-0.0520078,0.833896,-1.05645,1.33883,-0.415825,0.241045,0.341986,-0.230299,0.434239,-0.19748,0.132499,0.0726005,-0.32063,0.0841896,-0.0261528,0.118997,-0.254097,0.32579,-0.07441,2.31333,-0.185485,0.454887,0.94932,-0.69288,1.62768,-1.65411,-0.233949,0.126314,0.0513153,0.0985866,2.28963,2.32092,2.95916,-1.31924,1.59894,-0.883514,0.749754,-1.38189,-1.09795,1.54886,-1.3485,1.77474
-9274.83,0.863003,0.0243505,3,7,0,9341.2,0.530251,-1.25938,1.23604,1,-0.706773,-0.0792719,0,0.707441,0.877603,0,0,0.472788,0.249029,1.20536,1.26688,15.0644,1.38057,-0.935201,1.79655,-0.786676,0.542032,0.226043,-1.25545,0.233539,-0.0346867,0.472872,-0.922598,1.22125,1.41672,1.8859,1.48896,-0.255043,1.74863,-0.463931,0.70432,-1.68587,-0.436201,0.601824,-1.03277,1.5192,1.34387,0.37007,1.97646,-1.69444,-0.577433,-0.389517,-0.0605731,0.849862,-1.03053,1.37471,-0.523921,0.208311,0.343803,-0.232892,0.447394,-0.195905,0.134982,0.0562914,-0.312644,0.058158,-0.00863799,0.117759,-0.229754,0.304127,0.0319328,2.40486,-0.260841,0.452701,1.02933,-0.588173,1.67013,-1.63654,-0.342408,0.110341,-0.0946913,0.255048,2.24142,2.41236,2.65887,-1.21947,1.54386,-0.771816,0.872877,-1.3888,-1.09875,1.44503,-1.36941,1.69119
-9262.53,0.0776973,0.0280072,3,12,1,9304.52,0.608652,-1.21104,1.25077,1,-0.725158,-0.128823,0,0.688583,0.866132,0,0,0.482929,0.243815,1.19687,1.27329,15.2864,1.38374,-0.886862,1.81257,-0.82016,0.586786,0.157674,-1.28044,0.237298,-0.0250346,0.466425,-0.92523,1.28529,1.43325,1.91692,1.49772,-0.250993,1.75956,-0.458238,0.630453,-1.6866,-0.477238,0.571786,-1.06095,1.53817,1.33732,0.357906,1.96768,-1.73187,-0.537927,-0.372519,-0.071023,0.828783,-1.08467,1.38401,-0.580264,0.197582,0.337377,-0.21623,0.441933,-0.199967,0.143067,0.0384432,-0.312191,0.0578568,-0.00610379,0.113721,-0.225585,0.313372,-0.0197754,2.34955,-0.338838,0.50498,0.940849,-0.514504,1.63091,-1.59597,-0.371586,0.0664147,-0.0713516,0.152149,2.17599,2.4796,2.56436,-1.20721,1.51348,-0.760289,0.861643,-1.38934,-1.18918,1.40512,-1.3751,1.60702
-8548.5,0.993924,0.00278175,7,127,0,9275.81,4.21626,-1.20909,1.13899,1,-0.757826,-0.0801038,0,0.652456,0.874448,0,0,0.478461,0.295742,1.43374,1.28379,11.4966,1.26964,-0.926859,1.72221,-0.442077,0.496957,0.347148,-1.36603,0.402043,0.155719,0.651465,-0.900442,1.21674,1.43658,1.83185,1.39228,-0.422795,1.65111,-0.585812,0.75537,-1.7193,-0.451771,0.505643,-1.15591,1.33588,1.33962,0.0385064,1.98562,-1.87846,-0.473284,-0.394884,0.537714,0.854527,-1.00789,1.32203,-0.629758,0.14268,0.375487,-0.274112,0.50933,-0.130741,0.146971,0.102666,-0.403993,0.118901,0.0460527,0.192666,-0.266299,0.359842,-0.0356476,2.72066,-0.568812,0.0848241,1.00458,-0.925183,2.19084,-2.04515,-0.591802,-0.234828,-0.102946,-0.0723692,2.30501,2.17541,2.60553,-1.58301,1.51174,-0.935894,1.31875,-1.44656,-1.14226,1.3127,-1.59186,1.46219
