package	format	vectorisation	merge	time
base	.csv	for loop	do.call	1.74585390090942
base	.csv	for loop	do.call	1.30826783180237
base	.csv	for loop	do.call	1.43103218078613
base	.csv	for loop	do.call	1.43077683448792
base	.csv	for loop	do.call	1.3520040512085
base	.csv	for loop	do.call	1.3185019493103
base	.csv	for loop	do.call	1.3349289894104
base	.csv	for loop	do.call	1.387864112854
base	.csv	for loop	do.call	1.28490900993347
base	.csv	for loop	do.call	1.37472987174988
base	.csv	for loop	do.call	1.3131730556488
base	.csv	for loop	do.call	1.33689999580383
base	.csv	for loop	do.call	1.29946398735046
base	.csv	for loop	do.call	1.29807901382446
base	.csv	for loop	do.call	1.42958617210388
base	.csv	for loop	do.call	1.29649996757507
base	.csv	for loop	do.call	1.40025091171265
base	.csv	for loop	do.call	1.31471991539001
base	.csv	for loop	do.call	1.3096911907196
base	.csv	for loop	do.call	1.28862595558167
base	.csv	for loop	do.call	1.33496904373169
base	.csv	for loop	do.call	1.30805683135986
base	.csv	for loop	do.call	1.28732204437256
base	.csv	for loop	do.call	1.31759595870972
base	.csv	for loop	do.call	1.28505706787109
base	.csv	for loop	do.call	1.3712010383606
base	.csv	for loop	do.call	1.31875991821289
base	.csv	for loop	do.call	1.39421606063843
base	.csv	for loop	do.call	1.29985094070435
base	.csv	for loop	do.call	1.31003212928772
base	.csv	for loop	do.call	1.36136198043823
base	.csv	for loop	do.call	1.34936094284058
base	.csv	for loop	do.call	1.29957985877991
base	.csv	for loop	do.call	1.32263922691345
base	.csv	for loop	do.call	1.30530786514282
base	.csv	for loop	do.call	1.301913022995
base	.csv	for loop	do.call	1.29877710342407
base	.csv	for loop	do.call	1.37933588027954
base	.csv	for loop	do.call	1.30076098442078
base	.csv	for loop	do.call	1.27331113815308
base	.csv	for loop	do.call	1.275141954422
base	.csv	for loop	do.call	1.40209197998047
base	.csv	for loop	do.call	1.29835486412048
base	.csv	for loop	do.call	1.30004000663757
base	.csv	for loop	do.call	1.32304215431213
base	.csv	for loop	do.call	1.30665397644043
base	.csv	for loop	do.call	1.32329297065735
base	.csv	for loop	do.call	1.29845404624939
base	.csv	for loop	do.call	1.31693387031555
base	.csv	for loop	do.call	1.39176297187805
base	.csv	for loop	do.call	1.38799214363098
base	.csv	for loop	do.call	1.34745001792908
base	.csv	for loop	do.call	1.46044182777405
base	.csv	for loop	do.call	1.33157920837402
base	.csv	for loop	do.call	1.3049578666687
base	.csv	for loop	do.call	1.41054010391235
base	.csv	for loop	do.call	1.31218981742859
base	.csv	for loop	do.call	1.37246322631836
base	.csv	for loop	do.call	1.3614227771759
base	.csv	for loop	do.call	1.336590051651
base	.csv	for loop	do.call	1.42070412635803
base	.csv	for loop	do.call	1.31609296798706
base	.csv	for loop	do.call	1.28758096694946
base	.csv	for loop	do.call	1.31463694572449
base	.csv	for loop	do.call	1.2892279624939
base	.csv	for loop	do.call	1.33378911018372
base	.csv	for loop	do.call	1.3000168800354
base	.csv	for loop	do.call	1.30436611175537
base	.csv	for loop	do.call	1.29787302017212
base	.csv	for loop	do.call	1.41891694068909
base	.csv	for loop	do.call	1.31403589248657
base	.csv	for loop	do.call	1.37905502319336
base	.csv	for loop	do.call	1.28492403030396
base	.csv	for loop	do.call	1.33390712738037
base	.csv	for loop	do.call	1.38340091705322
base	.csv	for loop	do.call	1.3210711479187
base	.csv	for loop	do.call	1.35120487213135
base	.csv	for loop	do.call	1.31504607200623
base	.csv	for loop	do.call	1.31901907920837
base	.csv	for loop	do.call	1.32982802391052
base	.csv	for loop	do.call	1.33005595207214
base	.csv	for loop	do.call	1.31038188934326
base	.csv	for loop	do.call	1.28478598594666
base	.csv	for loop	do.call	1.39814209938049
base	.csv	for loop	do.call	1.27806711196899
base	.csv	for loop	do.call	1.2710428237915
base	.csv	for loop	do.call	1.46783208847046
base	.csv	for loop	do.call	1.32543992996216
base	.csv	for loop	do.call	1.30016708374023
base	.csv	for loop	do.call	1.2753438949585
base	.csv	for loop	do.call	1.31105184555054
base	.csv	for loop	do.call	1.29163002967834
base	.csv	for loop	do.call	1.28315401077271
base	.csv	for loop	do.call	1.41634297370911
base	.csv	for loop	do.call	1.40125107765198
base	.csv	for loop	do.call	1.30601286888123
base	.csv	for loop	do.call	1.32948923110962
base	.csv	for loop	do.call	1.32210278511047
base	.csv	for loop	do.call	1.32466316223145
base	.csv	for loop	do.call	1.35640692710876
readr	.csv	for loop	do.call	1.50357294082642
readr	.csv	for loop	do.call	1.38937091827393
readr	.csv	for loop	do.call	1.3644859790802
readr	.csv	for loop	do.call	1.36688995361328
readr	.csv	for loop	do.call	1.45200610160828
readr	.csv	for loop	do.call	1.35760498046875
readr	.csv	for loop	do.call	1.34816908836365
readr	.csv	for loop	do.call	1.35533881187439
readr	.csv	for loop	do.call	1.43727207183838
readr	.csv	for loop	do.call	1.31013894081116
readr	.csv	for loop	do.call	1.34800004959106
readr	.csv	for loop	do.call	1.44109702110291
readr	.csv	for loop	do.call	1.33980798721313
readr	.csv	for loop	do.call	1.34686493873596
readr	.csv	for loop	do.call	1.35874009132385
readr	.csv	for loop	do.call	1.36073803901672
readr	.csv	for loop	do.call	1.4401478767395
readr	.csv	for loop	do.call	1.3608729839325
readr	.csv	for loop	do.call	1.34748816490173
readr	.csv	for loop	do.call	1.34190106391907
readr	.csv	for loop	do.call	1.43906688690186
readr	.csv	for loop	do.call	1.43944406509399
readr	.csv	for loop	do.call	1.35639905929565
readr	.csv	for loop	do.call	1.33501696586609
readr	.csv	for loop	do.call	1.42880511283875
readr	.csv	for loop	do.call	1.32817387580872
readr	.csv	for loop	do.call	1.34667801856995
readr	.csv	for loop	do.call	1.34041309356689
readr	.csv	for loop	do.call	1.34776592254639
readr	.csv	for loop	do.call	1.4504280090332
readr	.csv	for loop	do.call	1.33461689949036
readr	.csv	for loop	do.call	1.44013023376465
readr	.csv	for loop	do.call	1.35682392120361
readr	.csv	for loop	do.call	1.44690203666687
readr	.csv	for loop	do.call	1.33310985565186
readr	.csv	for loop	do.call	1.35603618621826
readr	.csv	for loop	do.call	1.38467383384705
readr	.csv	for loop	do.call	1.35748505592346
readr	.csv	for loop	do.call	1.44818091392517
readr	.csv	for loop	do.call	1.33730697631836
readr	.csv	for loop	do.call	1.35067701339722
readr	.csv	for loop	do.call	1.41996097564697
readr	.csv	for loop	do.call	1.36782813072205
readr	.csv	for loop	do.call	1.42102003097534
readr	.csv	for loop	do.call	1.37895488739014
readr	.csv	for loop	do.call	1.37664008140564
readr	.csv	for loop	do.call	1.42449498176575
readr	.csv	for loop	do.call	1.32326292991638
readr	.csv	for loop	do.call	1.36435604095459
readr	.csv	for loop	do.call	1.35484910011292
readr	.csv	for loop	do.call	1.37471795082092
readr	.csv	for loop	do.call	1.34213280677795
readr	.csv	for loop	do.call	1.44790101051331
readr	.csv	for loop	do.call	1.3560311794281
readr	.csv	for loop	do.call	1.36161684989929
readr	.csv	for loop	do.call	1.37187194824219
readr	.csv	for loop	do.call	1.35405802726746
readr	.csv	for loop	do.call	1.36461400985718
readr	.csv	for loop	do.call	1.43843603134155
readr	.csv	for loop	do.call	1.43750309944153
readr	.csv	for loop	do.call	1.35535001754761
readr	.csv	for loop	do.call	1.36237502098084
readr	.csv	for loop	do.call	1.56086397171021
readr	.csv	for loop	do.call	1.6210880279541
readr	.csv	for loop	do.call	1.40444302558899
readr	.csv	for loop	do.call	1.37379908561707
readr	.csv	for loop	do.call	1.4655749797821
readr	.csv	for loop	do.call	1.36693692207336
readr	.csv	for loop	do.call	1.36234092712402
